,loss,conv,fa,cl,asp,ad,dataset,acc lp,best_values
27,LINE,SAGE,0.5,0.01,3,5,0.50.50.0135,0.5594149908592322,"{'hidden_layer': 32, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.0067052968724312, 'num_negative_samples': 11, 'lmbda': 0.03974082851805075}"
28,LINE,SAGE,0.5,0.01,3,20,0.50.50.01320,0.6674107142857143,"{'hidden_layer': 32, 'out_layer': 64, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.009033178750187323, 'num_negative_samples': 21, 'lmbda': 0.28706089139427327}"
29,LINE,SAGE,0.5,0.01,4,2,0.50.50.0142,0.5962962962962963,"{'hidden_layer': 32, 'out_layer': 64, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.007991002400653896, 'num_negative_samples': 11, 'lmbda': 0.8880765546410533}"
30,LINE,SAGE,0.5,0.01,4,5,0.50.50.0145,0.6179245283018868,"{'hidden_layer': 32, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.008022292720777383, 'num_negative_samples': 21, 'lmbda': 0.6643712296102887}"
31,LINE,SAGE,0.5,0.01,7,2,0.50.50.0172,0.7398945518453427,"{'hidden_layer': 256, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.00936324224079083, 'num_negative_samples': 16, 'lmbda': 0.4955166657619123}"
32,LINE,SAGE,0.5,0.2,2,5,0.50.50.225,0.7343558282208589,"{'hidden_layer': 256, 'out_layer': 128, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.00528081313853337, 'num_negative_samples': 6, 'lmbda': 0.6886491705370067}"
33,LINE,SAGE,0.5,0.2,2,20,0.50.50.2220,0.7017183139961816,"{'hidden_layer': 256, 'out_layer': 32, 'dropout': 0.0, 'size of network, number of convs': 3, 'lr': 0.007881214770785419, 'num_negative_samples': 21, 'lmbda': 0.07769568415690373}"
34,LINE,SAGE,0.5,0.2,2,40,0.50.50.2240,0.5834161861205011,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.0, 'size of network, number of convs': 3, 'lr': 0.008751175606117163, 'num_negative_samples': 21, 'lmbda': 0.6275986519474819}"
35,LINE,SAGE,0.5,0.2,3,2,0.50.50.232,0.5772870662460567,"{'hidden_layer': 256, 'out_layer': 128, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.005299987621101812, 'num_negative_samples': 16, 'lmbda': 0.6794185845006444}"
36,LINE,SAGE,0.5,0.2,3,5,0.50.50.235,0.9156146179401994,"{'hidden_layer': 256, 'out_layer': 128, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.005287250523438289, 'num_negative_samples': 16, 'lmbda': 0.3292624106336633}"
37,LINE,SAGE,0.5,0.2,3,20,0.50.50.2320,0.4536407027521072,"{'hidden_layer': 256, 'out_layer': 32, 'dropout': 0.0, 'size of network, number of convs': 3, 'lr': 0.006238320624882075, 'num_negative_samples': 21, 'lmbda': 0.8704797622315925}"
38,LINE,SAGE,0.5,0.2,4,2,0.50.50.242,1.0,"{'hidden_layer': 128, 'out_layer': 128, 'dropout': 0.2, 'size of network, number of convs': 3, 'lr': 0.009879217218446484, 'num_negative_samples': 1, 'lmbda': 0.6779727312956892}"
39,LINE,SAGE,0.5,0.2,4,5,0.50.50.245,0.9345650500384911,"{'hidden_layer': 128, 'out_layer': 64, 'dropout': 0.2, 'size of network, number of convs': 3, 'lr': 0.00857889983349217, 'num_negative_samples': 16, 'lmbda': 0.8325070757642787}"
40,LINE,SAGE,0.5,0.5,2,5,0.50.50.525,0.8281838733986435,"{'hidden_layer': 128, 'out_layer': 64, 'dropout': 0.30000000000000004, 'size of network, number of convs': 3, 'lr': 0.008633061278082747, 'num_negative_samples': 16, 'lmbda': 0.2569779285800757}"
41,LINE,SAGE,0.5,0.5,2,20,0.50.50.5220,0.9894498869630746,"{'hidden_layer': 128, 'out_layer': 64, 'dropout': 0.4, 'size of network, number of convs': 3, 'lr': 0.009147080255573474, 'num_negative_samples': 21, 'lmbda': 0.9684523065153284}"
42,LINE,SAGE,0.5,0.5,2,40,0.50.50.5240,0.546345139412208,"{'hidden_layer': 256, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.005760769756978945, 'num_negative_samples': 16, 'lmbda': 0.0692940638997191}"
43,LINE,SAGE,0.5,0.5,3,5,0.50.50.535,0.9698568198944989,"{'hidden_layer': 128, 'out_layer': 128, 'dropout': 0.30000000000000004, 'size of network, number of convs': 3, 'lr': 0.008073923103526358, 'num_negative_samples': 1, 'lmbda': 0.12541097531318723}"
44,LINE,SAGE,0.5,0.5,3,20,0.50.50.5320,1.0,"{'hidden_layer': 128, 'out_layer': 128, 'dropout': 0.2, 'size of network, number of convs': 3, 'lr': 0.008915547271248126, 'num_negative_samples': 21, 'lmbda': 0.4480840347467169}"
45,LINE,SAGE,0.5,0.5,4,5,0.50.50.545,0.5546345139412208,"{'hidden_layer': 128, 'out_layer': 64, 'dropout': 0.2, 'size of network, number of convs': 3, 'lr': 0.007449866542273636, 'num_negative_samples': 16, 'lmbda': 0.6060497158065978}"
46,LINE,SAGE,0.9,0.01,2,5,0.50.90.0125,0.6278625954198473,"{'hidden_layer': 32, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.009888057901980368, 'num_negative_samples': 1, 'lmbda': 0.3005372091340548}"
47,LINE,SAGE,0.9,0.01,2,20,0.50.90.01220,0.8206388206388207,"{'hidden_layer': 256, 'out_layer': 128, 'dropout': 0.30000000000000004, 'size of network, number of convs': 3, 'lr': 0.008928330566617937, 'num_negative_samples': 21, 'lmbda': 0.9875164434892408}"
48,LINE,SAGE,0.9,0.01,2,40,0.50.90.01240,0.6232876712328768,"{'hidden_layer': 64, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.007718998575688122, 'num_negative_samples': 11, 'lmbda': 0.4870408978171663}"
49,LINE,SAGE,0.9,0.01,3,2,0.50.90.0132,0.6981132075471698,"{'hidden_layer': 64, 'out_layer': 64, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.009395247154020535, 'num_negative_samples': 21, 'lmbda': 0.844493685658256}"
50,LINE,SAGE,0.9,0.01,3,5,0.50.90.0135,0.5632754342431762,"{'hidden_layer': 32, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.006486989493743451, 'num_negative_samples': 16, 'lmbda': 0.939858875675614}"
51,LINE,SAGE,0.9,0.01,3,20,0.50.90.01320,0.6325581395348837,"{'hidden_layer': 64, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.009048501718578062, 'num_negative_samples': 11, 'lmbda': 0.300020117154559}"
52,LINE,SAGE,0.9,0.01,4,2,0.50.90.0142,0.6413301662707839,"{'hidden_layer': 32, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.009635496264180572, 'num_negative_samples': 6, 'lmbda': 0.3007144608632182}"
53,LINE,SAGE,0.9,0.01,4,5,0.50.90.0145,0.7621359223300971,"{'hidden_layer': 64, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.00976867942508499, 'num_negative_samples': 16, 'lmbda': 0.47453838399502274}"
54,LINE,SAGE,0.9,0.01,7,2,0.50.90.0172,0.6950959488272921,"{'hidden_layer': 64, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.009358551968913461, 'num_negative_samples': 21, 'lmbda': 0.7616799728134394}"
55,LINE,SAGE,0.9,0.2,2,5,0.50.90.225,0.9336170212765957,"{'hidden_layer': 128, 'out_layer': 64, 'dropout': 0.4, 'size of network, number of convs': 3, 'lr': 0.009760968133969131, 'num_negative_samples': 1, 'lmbda': 0.7362753805837029}"
56,LINE,SAGE,0.9,0.2,2,20,0.50.90.2220,0.25649469447493595,"{'hidden_layer': 256, 'out_layer': 32, 'dropout': 0.0, 'size of network, number of convs': 3, 'lr': 0.008732770648109903, 'num_negative_samples': 1, 'lmbda': 0.013849439090608397}"
57,LINE,SAGE,0.9,0.2,2,40,0.50.90.2240,0.2442896484691398,"{'hidden_layer': 256, 'out_layer': 32, 'dropout': 0.0, 'size of network, number of convs': 3, 'lr': 0.008375088764664824, 'num_negative_samples': 21, 'lmbda': 0.6639140361891512}"
58,LINE,SAGE,0.9,0.2,3,2,0.50.90.232,0.9980879541108987,"{'hidden_layer': 256, 'out_layer': 128, 'dropout': 0.30000000000000004, 'size of network, number of convs': 3, 'lr': 0.005932388209166304, 'num_negative_samples': 6, 'lmbda': 0.3567000961584516}"
59,LINE,SAGE,0.9,0.2,3,5,0.50.90.235,0.8332124728063814,"{'hidden_layer': 128, 'out_layer': 64, 'dropout': 0.2, 'size of network, number of convs': 3, 'lr': 0.007776854173795957, 'num_negative_samples': 16, 'lmbda': 0.7018299968470842}"
60,LINE,SAGE,0.9,0.2,3,20,0.50.90.2320,0.5215925847903939,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.0, 'size of network, number of convs': 3, 'lr': 0.005170263603243444, 'num_negative_samples': 16, 'lmbda': 0.40646867152858496}"
