,conv,dataset,train acc micro,test acc micro,train acc macro,test acc macro,label assortativity,feature assortativity,cluster coefficient,average shortest path,average degree
298,SAGE,0.90.10.0132,0.8958630527817404,0.3366834170854271,0.8958630527817404,0.3366834170854271,0.9,0.1,0.01,3,2
299,SAGE,0.90.10.0135,1.0,0.3366834170854271,1.0,0.3366834170854271,0.9,0.1,0.01,3,5
300,SAGE,0.90.10.01320,0.5306704707560628,0.2663316582914573,0.5306704707560628,0.2663316582914573,0.9,0.1,0.01,3,20
301,SAGE,0.90.10.0142,0.8773181169757489,0.3316582914572864,0.8773181169757489,0.3316582914572864,0.9,0.1,0.01,4,2
302,SAGE,0.90.10.0145,0.7375178316690443,0.185929648241206,0.7375178316690443,0.185929648241206,0.9,0.1,0.01,4,5
303,SAGE,0.90.10.0172,0.7018544935805991,0.2060301507537688,0.7018544935805991,0.2060301507537688,0.9,0.1,0.01,7,2
304,SAGE,0.90.10.225,0.971469329529244,0.2914572864321608,0.971469329529244,0.2914572864321608,0.9,0.1,0.2,2,5
305,SAGE,0.90.10.2220,1.0,0.8944723618090452,1.0,0.8944723618090452,0.9,0.1,0.2,2,20
306,SAGE,0.90.10.2240,1.0,0.9798994974874372,1.0,0.9798994974874372,0.9,0.1,0.2,2,40
307,SAGE,0.90.10.232,0.7931526390870185,0.7939698492462312,0.7931526390870185,0.7939698492462312,0.9,0.1,0.2,3,2
308,SAGE,0.90.10.235,0.8288159771754636,0.5778894472361809,0.8288159771754636,0.5778894472361809,0.9,0.1,0.2,3,5
309,SAGE,0.90.10.2320,0.9514978601997148,0.949748743718593,0.9514978601997148,0.949748743718593,0.9,0.1,0.2,3,20
310,SAGE,0.90.10.242,0.9971469329529244,0.9949748743718592,0.9971469329529244,0.9949748743718592,0.9,0.1,0.2,4,2
311,SAGE,0.90.10.245,0.9144079885877318,0.6030150753768844,0.9144079885877318,0.6030150753768844,0.9,0.1,0.2,4,5
312,SAGE,0.90.10.272,0.9985734664764622,1.0,0.9985734664764622,1.0,0.9,0.1,0.2,7,2
313,SAGE,0.90.10.5220,1.0,1.0,1.0,1.0,0.9,0.1,0.5,2,20
314,SAGE,0.90.10.5240,0.9514978601997148,0.949748743718593,0.9514978601997148,0.949748743718593,0.9,0.1,0.5,2,40
315,SAGE,0.90.10.535,0.8687589158345221,0.8793969849246231,0.8687589158345221,0.8793969849246231,0.9,0.1,0.5,3,5
316,SAGE,0.90.10.5320,1.0,0.9949748743718592,1.0,0.9949748743718592,0.9,0.1,0.5,3,20
317,SAGE,0.90.10.545,0.7004279600570613,0.6834170854271356,0.7004279600570613,0.6834170854271356,0.9,0.1,0.5,4,5
318,SAGE,0.90.50.0125,0.7788873038516405,0.321608040201005,0.7788873038516405,0.321608040201005,0.9,0.5,0.01,2,5
319,SAGE,0.90.50.01220,0.9258202567760342,0.3417085427135678,0.9258202567760342,0.3417085427135678,0.9,0.5,0.01,2,20
320,SAGE,0.90.50.01240,0.9500713266761768,0.3467336683417085,0.9500713266761768,0.3467336683417085,0.9,0.5,0.01,2,40
321,SAGE,0.90.50.0132,1.0,0.3768844221105528,1.0,0.3768844221105528,0.9,0.5,0.01,3,2
322,SAGE,0.90.50.0135,0.8059914407988588,0.2914572864321608,0.8059914407988588,0.2914572864321608,0.9,0.5,0.01,3,5
323,SAGE,0.90.50.01320,0.7446504992867332,0.2864321608040201,0.7446504992867332,0.2864321608040201,0.9,0.5,0.01,3,20
324,SAGE,0.90.50.0142,0.3523537803138373,0.1909547738693467,0.3523537803138373,0.1909547738693467,0.9,0.5,0.01,4,2
325,SAGE,0.90.50.0145,0.9728958630527818,0.371859296482412,0.9728958630527818,0.371859296482412,0.9,0.5,0.01,4,5
326,SAGE,0.90.50.0172,0.7845934379457917,0.3115577889447236,0.7845934379457917,0.3115577889447236,0.9,0.5,0.01,7,2
327,SAGE,0.90.50.225,0.5706134094151213,0.2763819095477386,0.5706134094151213,0.2763819095477386,0.9,0.5,0.2,2,5
328,SAGE,0.90.50.2220,0.7503566333808844,0.7437185929648241,0.7503566333808844,0.7437185929648241,0.9,0.5,0.2,2,20
329,SAGE,0.90.50.2240,0.9985734664764622,1.0,0.9985734664764622,1.0,0.9,0.5,0.2,2,40
330,SAGE,0.90.50.232,1.0,1.0,1.0,1.0,0.9,0.5,0.2,3,2
331,SAGE,0.90.50.235,0.8659058487874465,0.8693467336683417,0.8659058487874465,0.8693467336683417,0.9,0.5,0.2,3,5
332,SAGE,0.90.50.2320,0.8659058487874465,0.864321608040201,0.8659058487874465,0.864321608040201,0.9,0.5,0.2,3,20
333,SAGE,0.90.50.242,1.0,1.0,1.0,1.0,0.9,0.5,0.2,4,2
334,SAGE,0.90.50.245,0.7346647646219686,0.7336683417085427,0.7346647646219686,0.7336683417085427,0.9,0.5,0.2,4,5
335,SAGE,0.90.50.272,0.9343794579172612,0.8844221105527639,0.9343794579172612,0.8844221105527639,0.9,0.5,0.2,7,2
336,SAGE,0.90.50.525,0.9814550641940084,1.0,0.9814550641940084,1.0,0.9,0.5,0.5,2,5
337,SAGE,0.90.50.5220,0.9001426533523538,0.8894472361809045,0.9001426533523538,0.8894472361809045,0.9,0.5,0.5,2,20
338,SAGE,0.90.50.5240,0.7475035663338089,0.7587939698492462,0.7475035663338089,0.7587939698492462,0.9,0.5,0.5,2,40
339,SAGE,0.90.50.535,1.0,0.964824120603015,1.0,0.964824120603015,0.9,0.5,0.5,3,5
340,SAGE,0.90.50.5320,1.0,1.0,1.0,1.0,0.9,0.5,0.5,3,20
341,SAGE,0.90.50.545,0.7018544935805991,0.6934673366834171,0.7018544935805991,0.6934673366834171,0.9,0.5,0.5,4,5
342,SAGE,0.90.90.0125,0.9158345221112696,0.3417085427135678,0.9158345221112696,0.3417085427135678,0.9,0.9,0.01,2,5
343,SAGE,0.90.90.01220,0.8958630527817404,0.3065326633165829,0.8958630527817404,0.3065326633165829,0.9,0.9,0.01,2,20
344,SAGE,0.90.90.01240,0.7189728958630528,0.3115577889447236,0.7189728958630528,0.3115577889447236,0.9,0.9,0.01,2,40
345,SAGE,0.90.90.0132,0.9229671897289586,0.2914572864321608,0.9229671897289586,0.2914572864321608,0.9,0.9,0.01,3,2
346,SAGE,0.90.90.0135,0.9814550641940084,0.3165829145728643,0.9814550641940084,0.3165829145728643,0.9,0.9,0.01,3,5
347,SAGE,0.90.90.01320,0.7261055634807418,0.2613065326633166,0.7261055634807418,0.2613065326633166,0.9,0.9,0.01,3,20
